Mineral Name,Mineral Name (plain),Valence Chemistry,IMA Chemistry,IMA Number,Country of Type Locality,IMA Status,isMineral
Abellaite,Abellaite,NaPb2(CO3)2(OH),NaPb2+2(CO3)2(OH),IMA2014-111,Spain,Approved,1
Abelloemringerite,Abelloemringerite,Cu2Pb2Mn3+Mn4+3O11(OH)(H2O)2·H2O,Cu2+2Pb2+2Mn3+Mn4+3O11(OH)(H2O)2·H2O,IMA2025-036,Republic of the Congo,"Approved,Pending publication",1
Abelsonite,Abelsonite,NiC31H32N4,Ni2+C31H32N4,IMA1975-013,USA,Approved,1
Abenakiite-(Ce),Abenakiite-(Ce),Na26Ce6(Si6O18)(PO4)6(CO3)6(SO2)O,Na26Ce3+6(SiO3)6(PO4)6(CO3)6(S4+O2)O,IMA1991-054,Canada,Approved,1
Abernathyite,Abernathyite,K(UO2)(AsO4)·3H2O,K(U6+O2)As5+O4·3H2O,,USA,"Approved,Grandfathered",1
Abhurite,Abhurite,Sn2+21O6(OH)14Cl16,Sn2+21O6(OH)14Cl16,IMA1983-061,Saudi Arabia,Approved,1
Abramovite,Abramovite,Pb2SnInBiS7,Pb2+2Sn4+In3+Bi3+S2-7,IMA2006-016,Russia,Approved,1
Abswurmbachite,Abswurmbachite,Cu2+Mn3+6O8(SiO4),Cu2+Mn3+6O8(SiO4),IMA1990-007,Greece,Approved,1
Abuite,Abuite,CaAl2(PO4)2F2,CaAl2(PO4)2F2,IMA2014-084,Japan,Approved,1
Acanthite,Acanthite,Ag2S,Ag1+2S2-,,Czech Republic,"Approved,Grandfathered",1
Acetamide,Acetamide,CH3CONH2,CH3CONH2,IMA1974-039,Ukraine,Approved,1
Achalaite,Achalaite,Fe2+TiNb2O8,Fe2+Ti4+Nb5+2O8,IMA2013-103,Argentina,Approved,1
Achávalite,Achavalite,FeSe,FeSe,,Argentina,"Approved,Renamed",1
Achyrophanite,Achyrophanite,"(K,Na)3(Fe3+,Ti,Al,Mg)5O2(AsO4)5","(K,Na)3(Fe3+,Ti4+,Al,Mg)5O2(As5+O4)5",IMA2018-011,Russia,Approved,1
Acmonidesite,Acmonidesite,"(NH4,K,Pb,Na)9Fe2+4(SO4)5Cl8","(N3-H4,K,Pb2+,Na)9Fe2+4(S6+O4)5Cl8",IMA2013-068,Italy,Approved,1
Actinolite,Actinolite,[box]Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,IMA2012 s.p.,Germany / Austria,"Approved,Redefined",1
Acuminite,Acuminite,SrAlF4(OH)·H2O,SrAlF4(OH)·H2O,IMA1986-038,Denmark (Greenland),Approved,1
Adachiite,Adachiite,CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH),CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH),IMA2012-101,Japan,Approved,1
Adamite,Adamite,Zn2(AsO4)(OH),Zn2+2As5+O4(OH),,Chile,"Approved,Grandfathered",1
Adamsite-(Y),Adamsite-(Y),NaY(CO3)2·6H2O,NaY(CO3)2·6H2O,IMA1999-020,Canada,Approved,1
Adanite,Adanite,Pb2(Te4+O3)(SO4),Pb2+2(Te4+O3)(S6+O4),IMA2019-088,USA,Approved,1
Addibischoffite,Addibischoffite,Ca2Al6Al6O20,Ca2Al6Al6O20,IMA2015-006,Algeria (meteorite),Approved,1
Adelite,Adelite,CaMg(AsO4)(OH),CaMgAs5+O4(OH),,Sweden,"Approved,Grandfathered",1
Admontite,Admontite,MgB6O10·7H2O,MgB6O10·7H2O,IMA1978-012,Austria,Approved,1
