Erathem/Era,System/Period,Series/Epoch,Stage/Age,Start Period,Start Uncertainty,End Period,End Uncertainty
Cenozoic,,,,66,,,
Cenozoic,Quaternary,,,2.58,,,
Cenozoic,Quaternary,Holocene,,0.126,,0.0117,
Cenozoic,Quaternary,Pleistocene,,2.58,,0.0117,
Cenozoic,Quaternary,Pleistocene,Upper,0.781,,0.126,
Cenozoic,Quaternary,Pleistocene,Middle,1.8,,0.781,
Cenozoic,Quaternary,Pleistocene,Calabrian,2.58,,1.8,
Cenozoic,Quaternary,Pleistocene,Gelasian,3.6,,2.58,
Cenozoic,Neogene,,,23.03,,2.58,
Cenozoic,Neogene,Pliocene,,5.333,,2.58,
Cenozoic,Neogene,Pliocene,Piacenzian,5.333,,3.6,
Cenozoic,Neogene,Pliocene,Zanclean,7.246,,5.333,
Cenozoic,Neogene,Miocene,,23.03,,5.333,
Cenozoic,Neogene,Miocene,Messinian,11.63,,7.246,
Cenozoic,Neogene,Miocene,Tortonian,13.82,,11.63,
Cenozoic,Neogene,Miocene,Serravallian,15.97,,13.82,
Cenozoic,Neogene,Miocene,Langhian,20.44,,15.97,
Cenozoic,Neogene,Miocene,Burdigalian,23.03,,20.44,
Cenozoic,Neogene,Miocene,Aquitanian,27.82,,23.03,
Cenozoic,Paleogene,,,66,,23.03,
Cenozoic,Paleogene,Oligocene,,33.9,,23.03,
Cenozoic,Paleogene,Oligocene,Chattian,33.9,,27.82,
Cenozoic,Paleogene,Oligocene,Rupelian,37.8,,33.9,
Cenozoic,Paleogene,Eocene,,56,,33.9,
Cenozoic,Paleogene,Eocene,Priabonian,41.2,,37.8,
Cenozoic,Paleogene,Eocene,Bartonian,47.8,,41.2,
Cenozoic,Paleogene,Eocene,Lutetian,56,,47.8,
Cenozoic,Paleogene,Eocene,Ypresian,59.2,,56,
Cenozoic,Paleogene,Paleocene,,66,,56,
Cenozoic,Paleogene,Paleocene,Thanetian,61.6,,59.2,
Cenozoic,Paleogene,Paleocene,Selandian,66,,61.6,
Cenozoic,Paleogene,Paleocene,Danian,72.1,,66,0.2
Mesozoic,,,,251.902,0.024,66,
Mesozoic,Cretaceous,,,145,,66,
Mesozoic,Cretaceous,Late,,100.5,,66,
Mesozoic,Cretaceous,Late,Maastrichtian,83.6,0.2,72.1,0.2
Mesozoic,Cretaceous,Late,Campanian,86.3,0.2,83.6,0.5
Mesozoic,Cretaceous,Late,Santonian,89.8,0.5,86.3,0.3
Mesozoic,Cretaceous,Late,Coniacian,93.9,0.3,89.8,
Mesozoic,Cretaceous,Late,Turonian,100.5,,93.9,
Mesozoic,Cretaceous,Late,Cenomanian,113,,100.5,
Mesozoic,Cretaceous,Early,,145,,100.5,
Mesozoic,Cretaceous,Early,Albian,125,,113,
Mesozoic,Cretaceous,Early,Aptian,129.4,,125,
Mesozoic,Cretaceous,Early,Barremian,132.9,,129.4,
Mesozoic,Cretaceous,Early,Hauterivian,139.8,,132.9,
Mesozoic,Cretaceous,Early,Valanginian,145,,139.8,
Mesozoic,Cretaceous,Early,Berriasian,152.1,,145,0.9
Mesozoic,Jurassic,,,201.3,0.2,145,
Mesozoic,Jurassic,Late,,163.5,1,145,
Mesozoic,Jurassic,Late,Tithonian,157.3,0.9,152.1,1
Mesozoic,Jurassic,Late,Kimmeridgian,163.5,1,157.3,1
Mesozoic,Jurassic,Late,Oxfordian,166.1,1,163.5,1.2
Mesozoic,Jurassic,Middle,,174.1,1,163.5,1
Mesozoic,Jurassic,Middle,Callovian,168.3,1.2,166.1,1.3
Mesozoic,Jurassic,Middle,Bathonian,170.3,1.3,168.3,1.4
Mesozoic,Jurassic,Middle,Bajocian,174.1,1.4,170.3,1
Mesozoic,Jurassic,Middle,Aalenian,182.7,1,174.1,0.7
Mesozoic,Jurassic,Early,,201.3,0.2,174.1,1
Mesozoic,Jurassic,Early,Toarcian,190.8,0.7,182.7,1
Mesozoic,Jurassic,Early,Pliensbachian,199.3,1,190.8,0.3
Mesozoic,Jurassic,Early,Sinemurian,201.3,0.3,199.3,0.2
Mesozoic,Jurassic,Early,Hettangian,208.5,0.2,201.3,
Mesozoic,Triassic,,,251.902,0.024,201.3,0.2
Mesozoic,Triassic,Late,,237,,201.3,0.2
Mesozoic,Triassic,Late,Rhaetian,227,,208.5,
Mesozoic,Triassic,Late,Norian,237,,227,
Mesozoic,Triassic,Late,Carnian,242,,237,
Mesozoic,Triassic,Middle,,247.2,,237,
Mesozoic,Triassic,Middle,Ladinian,247.2,,242,
Mesozoic,Triassic,Middle,Anisian,251.2,,247.2,
Mesozoic,Triassic,Early,,251.902,0.024,247.2,
Mesozoic,Triassic,Early,Olenekian,251.902,,251.2,0.024
Mesozoic,Triassic,Early,Induan,254.14,0.024,251.902,0.07
Paleozoic,,,,541,1,251.902,0.024
Paleozoic,Permian,,,298.9,0.15,251.902,0.024
Paleozoic,Permian,Lopingian,,259.1,0.5,251.902,0.024
Paleozoic,Permian,Lopingian,Changhsingian,259.1,0.07,254.14,0.5
