kingdom,phylum,class,order,family,genus,species,subspecies,family common name,species author,species source,species lsid,species common name,subspecies author,subspecies source,subspecies lsid,subspecies common name
Animalia,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus,corriae,,,"Thomas, 1905",ITIS,urn:lsid:catalogueoflife.org:taxon:f00d9312-29c1-102b-9a4a-00304854f820:ac2008,Fynbos Golden Mole,,,,
Animalia,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus,corriae,corriae,,"Thomas, 1905",ITIS,urn:lsid:catalogueoflife.org:taxon:f00d9312-29c1-102b-9a4a-00304854f820:ac2008,Fynbos Golden Mole,"Thomas, 1905",ITIS,urn:lsid:catalogueoflife.org:taxon:f4c82570-29c1-102b-9a4a-00304854f820:ac2008,
Animalia,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus,corriae,devilliersi,,"Thomas, 1905",ITIS,urn:lsid:catalogueoflife.org:taxon:f00d9312-29c1-102b-9a4a-00304854f820:ac2008,Fynbos Golden Mole,"Roberts, 1946",ITIS,urn:lsid:catalogueoflife.org:taxon:f4c8269c-29c1-102b-9a4a-00304854f820:ac2008,
Animalia,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus,hottentotus,,,"(A. Smith, 1829)",ITIS,urn:lsid:catalogueoflife.org:taxon:f33f98f0-29c1-102b-9a4a-00304854f820:ac2008,Hottentot Golden Mole,,,,
Animalia,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus,hottentotus,hottentotus,,"(A. Smith, 1829)",ITIS,urn:lsid:catalogueoflife.org:taxon:f33f98f0-29c1-102b-9a4a-00304854f820:ac2008,Hottentot Golden Mole,"(A. Smith, 1829)",ITIS,urn:lsid:catalogueoflife.org:taxon:f5f10c78-29c1-102b-9a4a-00304854f820:ac2008,
Animalia,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus,hottentotus,iris,,"(A. Smith, 1829)",ITIS,urn:lsid:catalogueoflife.org:taxon:f33f98f0-29c1-102b-9a4a-00304854f820:ac2008,Hottentot Golden Mole,"Thomas and Schwann, 1905",ITIS,urn:lsid:catalogueoflife.org:taxon:f5f10b56-29c1-102b-9a4a-00304854f820:ac2008,
Animalia,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus,hottentotus,longiceps,,"(A. Smith, 1829)",ITIS,urn:lsid:catalogueoflife.org:taxon:f33f98f0-29c1-102b-9a4a-00304854f820:ac2008,Hottentot Golden Mole,"(Broom, 1907)",ITIS,urn:lsid:catalogueoflife.org:taxon:f5f10a20-29c1-102b-9a4a-00304854f820:ac2008,
Animalia,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus,hottentotus,meesteri,,"(A. Smith, 1829)",ITIS,urn:lsid:catalogueoflife.org:taxon:f33f98f0-29c1-102b-9a4a-00304854f820:ac2008,Hottentot Golden Mole,"Bronner, 2000",ITIS,urn:lsid:catalogueoflife.org:taxon:f46a261e-29c1-102b-9a4a-00304854f820:ac2008,
Animalia,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus,hottentotus,pondoliae,,"(A. Smith, 1829)",ITIS,urn:lsid:catalogueoflife.org:taxon:f33f98f0-29c1-102b-9a4a-00304854f820:ac2008,Hottentot Golden Mole,"Thomas and Schwann, 1905",ITIS,urn:lsid:catalogueoflife.org:taxon:f5beba52-29c1-102b-9a4a-00304854f820:ac2008,
Animalia,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus,marleyi,,,"Roberts, 1931",ITIS,urn:lsid:catalogueoflife.org:taxon:f00d90c4-29c1-102b-9a4a-00304854f820:ac2008,Marley's Golden Mole,,,,
