kingdom,division,class,order,family,genus,species,subspecies,variety,species author,species source,species lsid,species common name,subspecies author,subspecies source,subspecies lsid,subspecies common name,variety author,variety source,variety lsid,variety common name
Plantae,Magnoliophyta,Liliopsida,Poales,Anarthriaceae,Anarthria,gracilis,,,R.Br.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1da7c1e-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Anarthriaceae,Anarthria,humilis,,,Nees,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1da7af2-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Anarthriaceae,Anarthria,laevis,,,R.Br.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1da79c6-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Anarthriaceae,Anarthria,polyphylla,,,Nees,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1da789a-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Anarthriaceae,Anarthria,prolifera,,,R.Br.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1da776e-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Anarthriaceae,Anarthria,scabra,,,R.Br.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1da7638-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Anarthriaceae,Hopkinsia,adscendens,,,B.G.Briggs & L.A.S.Johnson,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1a8825e-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Anarthriaceae,Hopkinsia,anoectocolea,,,(F.Muell.) D.F.Cutler,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1a8807e-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Anarthriaceae,Lyginia,barbata,,,R.Br.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f19df424-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Anarthriaceae,Lyginia,excelsa,,,B.G.Briggs & L.A.S.Johnson,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f19df244-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Anarthriaceae,Lyginia,imberbis,,,R.Br.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f19df050-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Acanthostachys,pitcairnioides,,,(Mez) Rauh & Barthlott,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1e35082-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Acanthostachys,strobilacea,,,(Schult. & Schult.f.) Klotzsch,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1e34f56-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,abbreviata,,,L.B.Sm.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de5b22-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,aciculosa,,,Mez & Sodiro,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de59f6-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,aculeatosepala,,,(Rauh & Barthlott) Leme,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de58ca-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,alba,,,Mez,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de5794-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,alegrensis,,,W.Weber,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de5668-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,allenii,,,L.B.Sm.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de5532-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,alopecurus,,,Mez,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de53fc-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,amorimii,,,Leme,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de523a-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,ampla,,,L.B.Sm.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de510e-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,andersoniana,,,Leme & H.E.Luther,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de4f9c-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,andersonii,,,H.E.Luther & Leme,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de4e3e-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
