kingdom,phylum,class,order,family,genus,species,subspecies,family common name,species author,species source,species common name,subspecies author,subspecies source,subspecies common name
Animalia,,,,,,,,,,,,,,
Animalia,Chordata,,,,,,,,,,,,,
Animalia,Chordata,Amphibia,,,,,,,,,,,,
Animalia,Chordata,Amphibia,Gymnophiona,,,,,,,,,,,
Animalia,Chordata,Amphibia,Gymnophiona,Herpelidae,,,,,,,,,,
Animalia,Chordata,Amphibia,Gymnophiona,Herpelidae,Boulengerula,,,,,,,,,
Animalia,Chordata,Amphibia,Gymnophiona,Herpelidae,Boulengerula,boulengeri,,,"Tornier, 1896",https://www.catalogueoflife.org/data/taxon/5WQMJ,Boulengerula,,,
Animalia,Chordata,Amphibia,Gymnophiona,Herpelidae,Boulengerula,changamwensis,,,"Loveridge, 1932",https://www.catalogueoflife.org/data/taxon/MR6V,Boulengerula,,,
Animalia,Chordata,Amphibia,Gymnophiona,Herpelidae,Boulengerula,denhardti,,,"Nieden, 1912",https://www.catalogueoflife.org/data/taxon/MR6W,Boulengerula,,,
Animalia,Chordata,Amphibia,Gymnophiona,Herpelidae,Boulengerula,fischeri,,,"Nussbaum & Hinkel, 1994",https://www.catalogueoflife.org/data/taxon/MR6X,Boulengerula,,,
Animalia,Chordata,Amphibia,Gymnophiona,Herpelidae,Boulengerula,niedeni,,,"Müller, Measey, Loader & Malonza, 2005",https://www.catalogueoflife.org/data/taxon/MR6Y,Boulengerula,,,
Animalia,Chordata,Amphibia,Gymnophiona,Herpelidae,Boulengerula,spawlsi,,,"Wilkinson, Malonza, Campbell & Loader, 2017",https://www.catalogueoflife.org/data/taxon/MR6Z,Boulengerula,,,
Animalia,Chordata,Amphibia,Gymnophiona,Herpelidae,Boulengerula,taitana,,,"Loveridge, 1935",https://www.catalogueoflife.org/data/taxon/MR72,Boulengerula,,,
Animalia,Chordata,Amphibia,Gymnophiona,Herpelidae,Boulengerula,uluguruensis,,,"Barbour & Loveridge, 1928",https://www.catalogueoflife.org/data/taxon/MR74,Boulengerula,,,
Animalia,Chordata,Amphibia,Gymnophiona,Herpelidae,Herpele,,,,,,,,,
Animalia,Chordata,Amphibia,Gymnophiona,Herpelidae,Herpele,multiplicata,,,"Nieden, 1912",https://www.catalogueoflife.org/data/taxon/3L2VR,Herpele,,,
Animalia,Chordata,Amphibia,Gymnophiona,Herpelidae,Herpele,squalostoma,,,"(Stutchbury, 1836)",https://www.catalogueoflife.org/data/taxon/3L2VT,Herpele,,,
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,,,,,,,,,,
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Gegeneophis,,,,,,,,,
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Gegeneophis,carnosus,,,"(Beddome, 1870)",https://www.catalogueoflife.org/data/taxon/3FGJF,Gegeneophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Gegeneophis,danieli,,,"Giri, Wilkinson & Gower, 2003",https://www.catalogueoflife.org/data/taxon/3FGJG,Gegeneophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Gegeneophis,goaensis,,,"Bhatta, Dinesh, Prashanth & Kulkarni, 2007",https://www.catalogueoflife.org/data/taxon/3FGJJ,Gegeneophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Gegeneophis,krishni,,,"Pillai & Ravichandran, 1999",https://www.catalogueoflife.org/data/taxon/3FGJK,Gegeneophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Gegeneophis,madhavai,,,"Bhatta & Srinivasa, 2004",https://www.catalogueoflife.org/data/taxon/3FGJL,Gegeneophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Gegeneophis,mhadeiensis,,,"Bhatta, Dinesh, Prashanth & Kulkarni, 2007",https://www.catalogueoflife.org/data/taxon/3FGJM,Gegeneophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Gegeneophis,orientalis,,,"Agarwal, Wilkinson, Mohapatra, Dutta, Giri & Gower, 2013",https://www.catalogueoflife.org/data/taxon/3FGJQ,Gegeneophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Gegeneophis,pareshi,,,"Giri, Gower, Gaikwad & Wilkinson, 2011",https://www.catalogueoflife.org/data/taxon/3FGJR,Gegeneophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Gegeneophis,primus,,,"Kotharambath, Gower, Oommen & Wilkinson, 2012",https://www.catalogueoflife.org/data/taxon/3FGJS,Gegeneophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Gegeneophis,ramaswamii,,,"Taylor, 1964",https://www.catalogueoflife.org/data/taxon/3FGJT,Gegeneophis,,,
