kingdom,phylum,class,order,family,genus,species,subspecies,family common name,species author,species source,species common name,subspecies author,subspecies source,subspecies common name
Plantae,,,,,,,,,,,,,,
Plantae,Bryophyta,,,,,,,,,,,,,
Plantae,Bryophyta,Andreaeopsida,,,,,,,,,,,,
Plantae,Bryophyta,Andreaeopsida,Andreaeobryales,,,,,,,,,,,
Plantae,Bryophyta,Andreaeopsida,Andreaeobryales,Andreaeobryaceae,,,,,,,,,,
Plantae,Bryophyta,Andreaeopsida,Andreaeobryales,Andreaeobryaceae,Andreaeobryum,,,,,,,,,
Plantae,Bryophyta,Andreaeopsida,Andreaeobryales,Andreaeobryaceae,Andreaeobryum,macrosporum,,,"Steere & B. M. Murray, 1976",https://www.catalogueoflife.org/data/taxon/66N9R,Andreaeobryum,,,
Plantae,Bryophyta,Andreaeopsida,Andreaeales,,,,,,,,,,,
Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,,,,,,,,,,
Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,,,,,,,,,
Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,appendiculata,,,"W. P. Schimper in B.S.G., 1855",https://www.catalogueoflife.org/data/taxon/66MXK,Andreaea,,,
Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,novae-zealandiae,,,"R. Brown ter, 1893",https://www.catalogueoflife.org/data/taxon/DQRZ,Andreaea,,,
Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,pseudosubulata,,,"C. Müller, 1864",https://www.catalogueoflife.org/data/taxon/DQSB,Andreaea,,,
Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,planinervia,,,"Lindberg ex G. Roth, 1911",https://www.catalogueoflife.org/data/taxon/DQS9,Andreaea,,,
Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,pilifera,,,"Herzog ex Thériot, 1937",https://www.catalogueoflife.org/data/taxon/DQS8,Andreaea,,,
Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,peruviana,,,"Brotherus, 1920",https://www.catalogueoflife.org/data/taxon/DQS7,Andreaea,,,
Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,patagonica,,,"Dusén, 1903",https://www.catalogueoflife.org/data/taxon/DQS6,Andreaea,,,
Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,parallela,,,"C. Müller, 1883",https://www.catalogueoflife.org/data/taxon/DQS5,Andreaea,,,
Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,pachyphylla,,,"Brotherus, 1901",https://www.catalogueoflife.org/data/taxon/DQS4,Andreaea,,,
Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,opaca,,,"Cardot ex G. Roth, 1911",https://www.catalogueoflife.org/data/taxon/DQS3,Andreaea,,,
Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,obovata,,,"Thedenius, 1849",https://www.catalogueoflife.org/data/taxon/DQS2,Andreaea,,,
Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,nivalis,,,"W. J. Hooker, 1811",https://www.catalogueoflife.org/data/taxon/DQRY,Andreaea,,,
Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,remotifolia,,,"Dusén, 1903",https://www.catalogueoflife.org/data/taxon/DQSD,Andreaea,,,
