kingdom,phylum,class,order,family,genus,species,subspecies,family common name,species author,species source,species common name,subspecies author,subspecies source,subspecies common name
Animalia,,,,,,,,,,,,,,
Animalia,Chordata,,,,,,,,,,,,,
Animalia,Chordata,Mammalia,,,,,,,,,,,,
Animalia,Chordata,Mammalia,Dermoptera,,,,,,,,,,,
Animalia,Chordata,Mammalia,Dermoptera,Cynocephalidae,,,,,,,,,,
Animalia,Chordata,Mammalia,Dermoptera,Cynocephalidae,Cynocephalus,,,,,,,,,
Animalia,Chordata,Mammalia,Dermoptera,Cynocephalidae,Cynocephalus,volans,,,"(Linnaeus, 1758)",https://www.catalogueoflife.org/data/taxon/339J4,Cynocephalus,,,
Animalia,Chordata,Mammalia,Dermoptera,Cynocephalidae,Galeopterus,,,,,,,,,
Animalia,Chordata,Mammalia,Dermoptera,Cynocephalidae,Galeopterus,variegatus,,,"(Audebert, 1799)",https://www.catalogueoflife.org/data/taxon/3F437,Galeopterus,,,
Animalia,Chordata,Mammalia,Soricomorpha,,,,,,,,,,,
Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,,,,,,,,,,
Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,,,,,,,,,
Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,arabica,,,"Hutterer & Harrison, 1988",https://www.catalogueoflife.org/data/taxon/6BGBN,Crocidura,,,
Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,orii,,,"Kuroda, 1924",https://www.catalogueoflife.org/data/taxon/ZK6T,Crocidura,,,
Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,nigripes,,,"Miller & Hollister, 1921",https://www.catalogueoflife.org/data/taxon/ZK6L,Crocidura,,,
Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,nigripes,lipara,,"Miller & Hollister, 1921",https://www.catalogueoflife.org/data/taxon/ZK6L,Crocidura,"Miller & Hollister, 1921",https://www.catalogueoflife.org/data/taxon/7JNVP,Crocidura
Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,nigripes,nigripes,,"Miller & Hollister, 1921",https://www.catalogueoflife.org/data/taxon/ZK6L,Crocidura,"Miller & Hollister, 1921",https://www.catalogueoflife.org/data/taxon/7JNVR,Crocidura
Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,nigrofusca,,,"Matschie, 1895",https://www.catalogueoflife.org/data/taxon/ZK6M,Crocidura,,,
Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,nimbae,,,"Heim de Balsac, 1956",https://www.catalogueoflife.org/data/taxon/ZK6N,Crocidura,,,
Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,niobe,,,"Thomas, 1906",https://www.catalogueoflife.org/data/taxon/ZK6P,Crocidura,,,
Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,obscurior,,,"Heim de Balsac, 1958",https://www.catalogueoflife.org/data/taxon/ZK6Q,Crocidura,,,
Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,olivieri,,,"(Lesson, 1827)",https://www.catalogueoflife.org/data/taxon/ZK6R,Crocidura,,,
Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,olivieri,olivieri,,"(Lesson, 1827)",https://www.catalogueoflife.org/data/taxon/ZK6R,Crocidura,"(Lesson, 1827)",https://www.catalogueoflife.org/data/taxon/5GPF2,Crocidura
Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,olivieri,hansruppi,,"(Lesson, 1827)",https://www.catalogueoflife.org/data/taxon/ZK6R,Crocidura,"Hutterer, 1981",https://www.catalogueoflife.org/data/taxon/7JNV6,Crocidura
Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,olivieri,occidentalis,,"(Lesson, 1827)",https://www.catalogueoflife.org/data/taxon/ZK6R,Crocidura,"(Pucheran, 1855)",https://www.catalogueoflife.org/data/taxon/7JNXF,Crocidura
Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,olivieri,anchietae,,"(Lesson, 1827)",https://www.catalogueoflife.org/data/taxon/ZK6R,Crocidura,"Bocage, 1889",https://www.catalogueoflife.org/data/taxon/7JNW3,Crocidura
Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,olivieri,cara,,"(Lesson, 1827)",https://www.catalogueoflife.org/data/taxon/ZK6R,Crocidura,"Dollmann, 1915",https://www.catalogueoflife.org/data/taxon/7JNW2,Crocidura
Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,olivieri,bueae,,"(Lesson, 1827)",https://www.catalogueoflife.org/data/taxon/ZK6R,Crocidura,"Heim de Balsac & Barloy, 1966",https://www.catalogueoflife.org/data/taxon/7JNVQ,Crocidura
