kingdom,phylum,class,order,family,genus,species,subspecies,family common name,species author,species source,species common name,subspecies author,subspecies source,subspecies common name
Plantae,,,,,,,,,,,,,,
Plantae,Tracheophyta,,,,,,,,,,,,,
Plantae,Tracheophyta,Polypodiopsida,,,,,,,,,,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,,,,,,,,,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Plagiogyriaceae,,,,,,,,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Plagiogyriaceae,Plagiogyria,,,,,,,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Plagiogyriaceae,Plagiogyria,adnata,,,(Blume) Bedd.,https://www.catalogueoflife.org/data/taxon/4JG98,Plagiogyria,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Plagiogyriaceae,Plagiogyria,assurgens,,,Christ,https://www.catalogueoflife.org/data/taxon/4JG9F,Plagiogyria,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Plagiogyriaceae,Plagiogyria,pectinata,,,(Liebm.) Lellinger,https://www.catalogueoflife.org/data/taxon/4JGBB,Plagiogyria,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Plagiogyriaceae,Plagiogyria,pycnophylla,,,(Kunze) Mett.,https://www.catalogueoflife.org/data/taxon/4JGBF,Plagiogyria,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Plagiogyriaceae,Plagiogyria,stenoptera,,,(Hance) Diels,https://www.catalogueoflife.org/data/taxon/4JGBN,Plagiogyria,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Plagiogyriaceae,Plagiogyria,neointermedia,,,Nakaike,https://www.catalogueoflife.org/data/taxon/4JGC9,Plagiogyria,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Plagiogyriaceae,Plagiogyria,wakabae,,,Kurata ex Nakaike,https://www.catalogueoflife.org/data/taxon/4JGCB,Plagiogyria,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Plagiogyriaceae,Plagiogyria,koidzumii,,,Tagawa,https://www.catalogueoflife.org/data/taxon/6VMQL,Plagiogyria,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Plagiogyriaceae,Plagiogyria,glauca,,,(Blume) Mett.,https://www.catalogueoflife.org/data/taxon/6VN2K,Plagiogyria,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Plagiogyriaceae,Plagiogyria,euphlebia,,,(Kunze) Mett.,https://www.catalogueoflife.org/data/taxon/77MQF,Plagiogyria,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Plagiogyriaceae,Plagiogyria,japonica,,,Nakai,https://www.catalogueoflife.org/data/taxon/77MQM,Plagiogyria,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Plagiogyriaceae,Plagiogyria,matsumureana,,,(Makino) Makino,https://www.catalogueoflife.org/data/taxon/77MQN,Plagiogyria,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Plagiogyriaceae,Plagiogyria,falcata,,,Copel.,https://www.catalogueoflife.org/data/taxon/77N2F,Plagiogyria,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Plagiogyriaceae,Plagiogyria,egenolfioides,,,(Baker) Copel.,https://www.catalogueoflife.org/data/taxon/77N2G,Plagiogyria,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Plagiogyriaceae,Plagiogyria,sessilifolia,,,Nakaike,https://www.catalogueoflife.org/data/taxon/77N2Q,Plagiogyria,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cibotiaceae,,,,,,,,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cibotiaceae,Cibotium,,,,,,,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cibotiaceae,Cibotium,taiwanense,,,C. M. Kuo,https://www.catalogueoflife.org/data/taxon/5YSYG,Cibotium,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cibotiaceae,Cibotium,helenae,,,D. D. Palmer,https://www.catalogueoflife.org/data/taxon/5YSYH,Cibotium,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cibotiaceae,Cibotium,regale,,,Linden ex J. Sm.,https://www.catalogueoflife.org/data/taxon/5YT9Z,Cibotium,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cibotiaceae,Cibotium,schiedei,,,Schltdl. & Cham.,https://www.catalogueoflife.org/data/taxon/5Z4XZ,Cibotium,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cibotiaceae,Cibotium,arachnoideum,,,(C. Chr.) Holttum,https://www.catalogueoflife.org/data/taxon/V59D,Cibotium,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cibotiaceae,Cibotium,barometz,,,(L.) J. Sm.,https://www.catalogueoflife.org/data/taxon/V59G,Cibotium,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cibotiaceae,Cibotium,chamissoi,,,Kaulf.,https://www.catalogueoflife.org/data/taxon/V59J,Cibotium,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cibotiaceae,Cibotium,cumingii,,,Kunze,https://www.catalogueoflife.org/data/taxon/V59L,Cibotium,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cibotiaceae,Cibotium,glaucum,,,(Sm.) Hook. & Arn.,https://www.catalogueoflife.org/data/taxon/V59Q,Cibotium,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cibotiaceae,Cibotium,menziesii,,,Hook.,https://www.catalogueoflife.org/data/taxon/V59V,Cibotium,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cibotiaceae,Cibotium,nealiae,,,O. Deg.,https://www.catalogueoflife.org/data/taxon/V59W,Cibotium,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Culcitaceae,,,,,,,,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Culcitaceae,Culcita,,,,,,,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Culcitaceae,Culcita,coniifolia,,,(Hook.) Maxon,https://www.catalogueoflife.org/data/taxon/6BQNZ,Culcita,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Culcitaceae,Culcita,macrocarpa,,,C. Presl,https://www.catalogueoflife.org/data/taxon/6C2NS,Culcita,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,,,,,,,,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,,,,,,,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,abbreviata,,,I. Fernald,https://www.catalogueoflife.org/data/taxon/32P9X,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,subincisa,,,(Kunze) Domin,https://www.catalogueoflife.org/data/taxon/32QD2,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,tejedoris,,,"Lehnert, F. Giraldo & W. Rodríguez",https://www.catalogueoflife.org/data/taxon/32QDW,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,sylvatica,,,Lehnert,https://www.catalogueoflife.org/data/taxon/32QDQ,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,surinamensis,,,(Miq.) Domin,https://www.catalogueoflife.org/data/taxon/32QDN,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,suprastrigosa,,,(Christ) Maxon,https://www.catalogueoflife.org/data/taxon/32QDM,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,suprapilosa,,,Lehnert,https://www.catalogueoflife.org/data/taxon/32QDK,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,sunduei,,,Lehnert,https://www.catalogueoflife.org/data/taxon/32QDG,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,subindusiata,,,Domin,https://www.catalogueoflife.org/data/taxon/32QD3,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,strigillosa,,,(Maxon) Domin,https://www.catalogueoflife.org/data/taxon/32QCH,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,tuerckheimii,,,Maxon,https://www.catalogueoflife.org/data/taxon/32QF7,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,straminea,,,H. Karst.,https://www.catalogueoflife.org/data/taxon/32QCG,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,stolzeana,,,(L. D. Gómez) Lehnert,https://www.catalogueoflife.org/data/taxon/32QCD,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,stokesii,,,(E. D. Br.) N. Hallé & Florence,https://www.catalogueoflife.org/data/taxon/32QCC,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,steyermarkii,,,R. M. Tryon,https://www.catalogueoflife.org/data/taxon/32QC8,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,srilankensis,,,Ranil,https://www.catalogueoflife.org/data/taxon/32QC3,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,squarrosa,,,(Rosenst.) Domin,https://www.catalogueoflife.org/data/taxon/32QC2,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,squamulosa,,,(Losch) R. C. Moran,https://www.catalogueoflife.org/data/taxon/32QBZ,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,tenera,,,(J. Sm.) Moore,https://www.catalogueoflife.org/data/taxon/32QDX,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,uleana,,,(A. Samp.) Lehnert,https://www.catalogueoflife.org/data/taxon/32QFB,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,squamata,,,(Klotzsch) Domin,https://www.catalogueoflife.org/data/taxon/32QBV,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,whitmeei,,,Baker,https://www.catalogueoflife.org/data/taxon/32QGR,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,bernardii,,,Proctor,https://www.catalogueoflife.org/data/taxon/32QHL,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,acunae,,,(Caluff & Shelton) C. Sánchez,https://www.catalogueoflife.org/data/taxon/32QHK,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,zongoensis,,,Lehnert,https://www.catalogueoflife.org/data/taxon/32QHJ,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,yambrasensis,,,A. Tejedor & G. Calat.,https://www.catalogueoflife.org/data/taxon/32QH9,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,xerica,,,A. Tejedor & G. Calat.,https://www.catalogueoflife.org/data/taxon/32QH8,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,windischiana,,,A. R. Sm.,https://www.catalogueoflife.org/data/taxon/32QGX,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,wilsonii,,,(Hook.) Domin,https://www.catalogueoflife.org/data/taxon/32QGW,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,werffii,,,R. C. Moran,https://www.catalogueoflife.org/data/taxon/32QGP,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,universitatis,,,(Vareschi) Christenh.,https://www.catalogueoflife.org/data/taxon/32QFG,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,wendlandii,,,(Mett. ex Kuhn) Domin,https://www.catalogueoflife.org/data/taxon/32QGL,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,weatherbyana,,,(C. V. Morton) C. V. Morton,https://www.catalogueoflife.org/data/taxon/32QGJ,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,vilhelmii,,,Domin,https://www.catalogueoflife.org/data/taxon/32QG9,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,venezuelensis,,,A. R. Sm. ex Lellinger,https://www.catalogueoflife.org/data/taxon/32QFX,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,varians,,,(R. C. Moran) Lehnert,https://www.catalogueoflife.org/data/taxon/32QFS,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,valliciergoana,,,A. Tejedor & G. Calat.,https://www.catalogueoflife.org/data/taxon/32QFQ,Cyathea,,,
