"Continent","Country","State","County","GeographyCode","CentroidLat","CentroidLon"
Africa,"","","",AF,"7.19","21.09"
Africa,Algeria,"","",DZ,"28.00","3.00"
Africa,Algeria,Adrar,"","","25.75",-1.00
Africa,Algeria,Annaba,"","","36.83","7.58"
Africa,Algeria,El Bayadh,"","","32.50","1.17"
Africa,Algeria,El Oued,"","","33.17","7.25"
Africa,Algeria,El Tarf,"","","36.75","8.17"
Africa,Algeria,Illizi,"","","26.83","8.17"
Africa,Algeria,Oran,"","","35.67",-0.50
Africa,Algeria,Oum el Bouaghi,"","","35.83","7.08"
Africa,Algeria,Wilaya d' Alger,"","","36.74","3.01"
Africa,Algeria,Wilaya de Ain Defla,"","","36.17","2.17"
Africa,Algeria,Wilaya de Ain Temouchent,"","","35.33",-1.08
Africa,Algeria,Wilaya de Batna,"","","35.50","5.92"
Africa,Algeria,Wilaya de Bechar,"","","30.25",-3.08
Africa,Algeria,Wilaya de Bejaia,"","","36.67","4.92"
Africa,Algeria,Wilaya de Biskra,"","","34.67","5.42"
Africa,Algeria,Wilaya de Blida,"","","36.58","3.00"
Africa,Algeria,Wilaya de Bordj Bou Arreridj,"","","36.08","4.75"
Africa,Algeria,Wilaya de Bouira,"","","36.25","3.92"
Africa,Algeria,Wilaya de Boumerdes,"","","36.75","3.67"
Africa,Algeria,Wilaya de Chlef,"","","36.25","1.25"
Africa,Algeria,Wilaya de Constantine,"","","36.33","6.67"
Africa,Algeria,Wilaya de Djelfa,"","","34.33","3.67"
Africa,Algeria,Wilaya de Ghardaia,"","","31.08","3.17"
Africa,Algeria,Wilaya de Ghardaia,Bukombe District,"","31.00","3.00"
Africa,Algeria,Wilaya de Guelma,"","","36.42","7.42"
Africa,Algeria,Wilaya de Jijel,"","","36.75","6.00"
Africa,Algeria,Wilaya de Khenchela,"","","35.00","7.00"
Africa,Algeria,Wilaya de Laghouat,"","","33.58","2.67"
Africa,Algeria,Wilaya de M'Sila,"","","35.33","4.33"
Africa,Algeria,Wilaya de Mascara,"","","35.42","0.17"
Africa,Algeria,Wilaya de Medea,"","","36.08","3.00"
Africa,Algeria,Wilaya de Mila,"","","36.42","6.17"
Africa,Algeria,Wilaya de Mostaganem,"","","36.00","0.33"
Africa,Algeria,Wilaya de Naama,"","","33.50",-0.83
Africa,Algeria,Wilaya de Ouargla,"","","30.50","6.17"
Africa,Algeria,Wilaya de Relizane,"","","35.75","0.92"
Africa,Algeria,Wilaya de Saida,"","","34.67","0.33"
Africa,Algeria,Wilaya de Setif,"","","36.17","5.50"
Africa,Algeria,Wilaya de Sidi Bel Abbes,"","","34.83",-0.50
Africa,Algeria,Wilaya de Skikda,"","","36.75","6.83"
Africa,Algeria,Wilaya de Souk Ahras,"","","36.17","7.92"
Africa,Algeria,Wilaya de Tamanrasset,"","","23.75","4.67"
Africa,Algeria,Wilaya de Tamanrasset,In Guezzam,"","20.46","5.73"
Africa,Algeria,Wilaya de Tebessa,"","","35.00","7.83"
Africa,Algeria,Wilaya de Tiaret,"","","34.92","1.58"
